     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/02/2019-03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R021,42ND STREET & 6TH AVENUE      ,00087725,00004272,00000429,00001182,00000135,00036105,00072001,00000000,00000000,00000000,00000621,00002710,00000632,00000094,00010982,00003795,00002152,00000000,00001532,00000001,00000000,00000000,00001934,00000000,00000371,00000000,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00146940,00008060,00000820,00002064,00000792,00068977,00095463,00000000,00000001,00000000,00000741,00001964,00001970,00000798,00011135,00004353,00002429,00000000,00002991,00000000,00000000,00000000,00003470,00000000,00000805,00000000,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00157010,00007836,00000710,00001643,00000566,00050065,00102402,00000000,00000000,00000000,00000333,00003466,00001591,00000648,00011934,00006075,00003021,00000000,00002096,00000000,00000000,00000000,00003246,00000000,00000420,00000000,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00041605,00002397,00000458,00000819,00000361,00030906,00020078,00000000,00000000,00000000,00000046,00000350,00001115,00000325,00001786,00000740,00000307,00000000,00011628,00000000,00000000,00000000,00002583,00000000,00000657,00000000,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00043118,00002144,00000809,00001545,00000014,00048751,00031100,00000000,00000000,00000000,00000065,00000334,00001460,00000021,00004201,00000591,00000415,00000000,00000341,00000000,00000000,00000000,00006112,00000000,00001310,00000000,                                                                                                    
R027,WALL STREET                   ,00057681,00002734,00000153,00000490,00001040,00014741,00038119,00000000,00000000,00000000,00000144,00001039,00000334,00001509,00005526,00002806,00001208,00000000,00000864,00000000,00000000,00000000,00001388,00000000,00000107,00000000,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00060493,00004024,00000348,00001144,00000368,00022868,00047417,00000000,00000000,00000000,00000202,00001063,00000553,00000551,00008217,00002197,00001371,00000000,00001168,00000000,00000000,00000000,00002648,00000000,00000243,00000000,                                                                                                    
R029,PARK PLACE                    ,00116711,00005794,00000443,00001411,00000801,00036737,00067854,00000000,00000000,00000000,00001389,00002092,00001102,00001219,00009969,00004516,00002416,00000000,00002384,00000000,00000000,00000000,00005931,00000000,00005544,00000000,                                                                                                    
R030,CHAMBERS STREET               ,00043820,00003035,00000246,00000587,00000502,00016078,00028671,00000000,00000000,00000000,00000229,00000780,00000462,00000746,00003972,00002010,00000940,00000000,00000561,00000000,00000000,00000000,00008542,00000000,00004342,00000000,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00106985,00005719,00000458,00000959,00002196,00026883,00038078,00000000,00000000,00000000,00000195,00001444,00001161,00002933,00005217,00005036,00001227,00000000,00001346,00000000,00000000,00000000,00002553,00000000,00000420,00000000,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,00092277,00005141,00000420,00001249,00000208,00035324,00073727,00000000,00000000,00000000,00000331,00002105,00000583,00000105,00008924,00003936,00002251,00000000,00001457,00000000,00000000,00000000,00001311,00000000,00000229,00000000,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00148930,00008389,00000762,00001652,00000516,00072400,00072913,00000000,00000000,00000000,00001270,00002187,00002181,00000405,00011157,00004617,00002180,00000000,00003586,00000000,00000000,00000000,00005238,00000000,00000818,00000000,                                                                                                    
R034,125TH STREET & BROADWAY       ,00016436,00001525,00000116,00000382,00000028,00009833,00013308,00000000,00000000,00000000,00000026,00000122,00000444,00000034,00001245,00000492,00000343,00000000,00000338,00000000,00000000,00000000,00001857,00000000,00000135,00000000,                                                                                                    
R035,168TH STREET & BROADWAY       ,00042779,00003391,00000411,00000727,00000073,00023494,00035318,00000000,00000000,00000000,00000091,00000408,00001128,00000114,00003314,00001335,00001175,00000000,00000625,00000000,00000000,00000000,00004517,00000000,00000299,00000000,                                                                                                    
R036,DYCKMAN STREET                ,00012409,00001647,00000204,00000362,00000005,00012606,00008734,00000000,00000000,00000000,00000014,00000082,00000837,00000000,00000918,00000122,00000114,00000000,00000103,00000000,00000000,00000000,00002900,00000000,00000293,00000000,                                                                                                    
R037,207TH STREET                  ,00006576,00000736,00000159,00000177,00000001,00010575,00005792,00000000,00000000,00000000,00000008,00000030,00000389,00000000,00000535,00000049,00000056,00000000,00000044,00000000,00000000,00000000,00001927,00000000,00000281,00000000,                                                                                                    
R038,215TH STREET                  ,00002659,00000348,00000037,00000103,00000002,00001791,00002362,00000000,00000000,00000000,00000004,00000041,00000105,00000007,00000263,00000048,00000063,00000000,00000022,00000000,00000000,00000000,00000496,00000000,00000057,00000000,                                                                                                    
R039,225TH STREET                  ,00009127,00000739,00000097,00000138,00000038,00007211,00004993,00000000,00000000,00000000,00000012,00000044,00000288,00000041,00000511,00000152,00000120,00000000,00000072,00000000,00000000,00000000,00002247,00000000,00000216,00000000,                                                                                                    
R040,231ST STREET                  ,00014195,00001765,00000264,00000593,00000004,00012292,00011643,00000000,00000000,00000000,00000081,00000122,00000738,00000010,00001486,00000295,00000160,00000000,00000062,00000000,00000000,00000000,00002230,00000000,00000311,00000000,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,00044289,00002875,00000309,00000753,00000538,00018563,00031601,00000000,00000000,00000000,00001550,00000827,00000562,00000717,00005182,00001889,00000841,00000000,00000792,00000000,00000000,00000000,00003736,00000000,00000205,00000000,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,00007378,00000310,00000056,00000084,00000051,00005844,00003863,00000000,00000000,00000000,00000186,00000095,00000033,00000108,00000500,00000270,00000096,00000000,00000285,00000000,00000000,00000000,00000326,00000000,00000081,00000000,                                                                                                    
R043,WALL STREET                   ,00043571,00002380,00000129,00000355,00000371,00014995,00030738,00000000,00000000,00000000,00000984,00000802,00000249,00000756,00003593,00001733,00000806,00000000,00000771,00000000,00000000,00000000,00001655,00000000,00000095,00000000,                                                                                                    
R044,BROOKLYN BRIDGE               ,00069266,00005046,00000299,00001145,00000310,00029068,00043871,00000000,00000000,00000000,00000372,00000862,00000854,00000676,00006107,00002272,00001298,00000000,00001382,00000000,00000000,00000000,00004545,00000000,00001352,00000000,                                                                                                    
R045,42ND STREET & GRAND CENTRAL   ,00081195,00004603,00000182,00000395,00001620,00011648,00027318,00000000,00000000,00000000,00000207,00001275,00000389,00001922,00003781,00004124,00001006,00000000,00000753,00000000,00000000,00000000,00000733,00000000,00000119,00000000,                                                                                                    
R046,42ND STREET & GRAND CENTRAL   ,00215806,00010212,00000620,00001281,00002741,00052150,00092249,00000000,00000000,00000000,00000626,00003032,00002190,00003647,00013605,00008623,00002902,00000000,00003489,00000000,00000000,00000000,00002240,00000000,00000473,00000000,                                                                                                    
R047,42ND STREET & GRAND CENTRAL   ,00102615,00005499,00000352,00000947,00000897,00029670,00068289,00000000,00000000,00000000,00000505,00002232,00000453,00001455,00009967,00004871,00001914,00000000,00001185,00000000,00000000,00000000,00001541,00000000,00000303,00000000,                                                                                                    
R048,42ND STREET & 3RD AVENUE      ,00032973,00001638,00000070,00000320,00000345,00007663,00021171,00000000,00000000,00000000,00000067,00000661,00000167,00000314,00002197,00001689,00000559,00000000,00000387,00000000,00000000,00000000,00000465,00000000,00000068,00000000,                                                                                                    
R049,51ST STREET & LEXINGTON AVE   ,00050317,00002957,00000220,00000499,00000116,00019046,00032435,00000000,00000000,00000000,00000242,00001187,00000338,00000105,00005638,00002113,00001064,00000000,00001194,00000000,00000000,00000000,00000749,00000000,00000150,00000000,                                                                                                    
R050,59TH STREET & LEXINGTON AVE   ,00050916,00003928,00000278,00000745,00000243,00019610,00036928,00000000,00000000,00000000,00000275,00001172,00000544,00000367,00005499,00002342,00000979,00000000,00000722,00000000,00000000,00000000,00001358,00000000,00000194,00000000,                                                                                                    
R051,59TH STREET & LEXINGTON AVE   ,00059727,00004814,00000400,00000958,00000132,00034925,00046694,00000000,00000000,00000000,00000213,00001035,00000618,00000240,00006497,00002216,00001340,00000000,00000703,00000000,00000000,00000000,00003381,00000000,00000387,00000000,                                                                                                    
R052,WOODLAWN ROAD                 ,00007723,00000575,00000202,00000443,00000006,00008690,00005773,00000000,00000000,00000000,00000015,00000062,00000539,00000006,00000650,00000114,00000033,00000000,00000030,00000000,00000000,00000000,00000951,00000000,00000383,00000000,                                                                                                    
R053,149TH STREET & 3RD AVENUE     ,00034498,00002081,00000616,00000978,00000022,00038815,00019778,00000000,00000000,00000000,00000050,00000148,00001468,00000007,00002900,00000265,00000233,00000000,00000190,00000000,00000000,00000000,00008030,00000000,00001085,00000000,                                                                                                    
R054,FIFTH AVENUE & 42ND STREET    ,00028580,00001431,00000139,00000320,00000141,00011299,00021121,00000000,00000000,00000000,00000194,00000690,00000248,00000076,00002767,00001149,00000653,00000000,00000459,00000000,00000000,00000000,00000619,00000000,00000119,00000000,                                                                                                    
R055,MAIN STREET                   ,00075692,00008884,00001028,00005393,00000045,00052386,00093437,00000000,00000000,00000000,00000139,00000687,00002521,00000029,00004562,00000919,00000649,00000000,00000738,00000000,00000000,00000000,00009687,00000000,00001709,00000000,                                                                                                    
R056,NEVINS STREET                 ,00018862,00001699,00000334,00000452,00000015,00011448,00014724,00000000,00000000,00000000,00000100,00000137,00000428,00000030,00002459,00000518,00000404,00000000,00000246,00000000,00000000,00000000,00003114,00000000,00000192,00000000,                                                                                                    
R057,BARCLAYS CENTER               ,00101487,00006663,00000938,00001925,00001615,00046075,00065597,00000000,00000000,00000000,00000176,00001120,00001606,00001960,00008772,00003568,00001871,00000000,00001860,00000000,00000000,00000000,00015933,00000000,00000924,00000000,                                                                                                    
R058,BERGEN STREET                 ,00006201,00000566,00000054,00000145,00000004,00002866,00007300,00000000,00000000,00000000,00000004,00000105,00000055,00000002,00001236,00000302,00000245,00000000,00000129,00000000,00000000,00000000,00000754,00000000,00000028,00000000,                                                                                                    
R059,GRAND ARMY PLAZA              ,00012826,00002132,00000163,00000389,00000017,00005127,00012825,00000000,00000000,00000000,00000013,00000301,00000368,00000013,00002122,00000556,00000456,00000000,00000168,00000000,00000000,00000000,00002046,00000000,00000055,00000000,                                                                                                    
R060,EASTERN PARKWAY               ,00009402,00001267,00000115,00000234,00000011,00005053,00008500,00000000,00000000,00000000,00000011,00000138,00000212,00000003,00001494,00000299,00000276,00000000,00000240,00000000,00000000,00000000,00001203,00000000,00000057,00000000,                                                                                                    
R061,NOSTRAND AVENUE               ,00006536,00000523,00000158,00000163,00000004,00005413,00006405,00000000,00000000,00000000,00000003,00000053,00000248,00000005,00000911,00000104,00000113,00000000,00000083,00000000,00000000,00000000,00001790,00000000,00000192,00000000,                                                                                                    
R062,UTICA AVENUE                  ,00040157,00002727,00000889,00001367,00000008,00037856,00031325,00000000,00000000,00000000,00000037,00000347,00001176,00000020,00004748,00000394,00000680,00000000,00000275,00000000,00000000,00000000,00006889,00000000,00000943,00000000,                                                                                                    
R063,SUTTER AVENUE                 ,00012495,00000982,00000205,00000277,00000015,00010420,00006402,00000000,00000000,00000000,00000001,00000074,00000458,00000000,00000748,00000045,00000171,00000000,00000048,00000000,00000000,00000000,00003211,00000000,00000303,00000000,                                                                                                    
R064,SARATOGA AVENUE               ,00010181,00000670,00000161,00000178,00000000,00007871,00005028,00000000,00000000,00000000,00000006,00000076,00000353,00000000,00000599,00000050,00000117,00000000,00000039,00000000,00000000,00000000,00002805,00000002,00000248,00000000,                                                                                                    
R065,ROCKAWAY AVENUE               ,00008660,00000758,00000190,00000257,00000000,00007109,00003631,00000000,00000000,00000000,00000012,00000032,00000797,00000005,00000556,00000468,00000051,00000000,00000039,00000000,00000000,00000001,00002796,00000001,00000223,00000000,                                                                                                    
R066,JUNIUS STREET                 ,00003688,00000420,00000063,00000118,00000002,00003670,00001885,00000000,00000000,00000000,00000001,00000023,00000226,00000000,00000191,00000008,00000030,00000000,00000022,00000000,00000000,00000000,00001439,00000000,00000117,00000000,                                                                                                    
R067,PENNSYLVANIA AVENUE           ,00008374,00000541,00000180,00000171,00000000,00007074,00003595,00000000,00000000,00000000,00000007,00000033,00000395,00000000,00000557,00000030,00000066,00000000,00000075,00000000,00000000,00000000,00002824,00000000,00000159,00000000,                                                                                                    
R068,VAN SICLEN AVENUE             ,00005143,00000396,00000086,00000110,00000000,00004329,00002422,00000000,00000000,00000000,00000002,00000035,00000251,00000000,00000362,00000023,00000044,00000000,00000030,00000000,00000000,00000001,00001325,00000000,00000117,00000000,                                                                                                    
R069,NEW LOTS AVENUE               ,00008708,00000635,00000234,00000225,00000000,00008669,00004651,00000000,00000000,00000000,00000019,00000023,00000416,00000000,00000735,00000058,00000054,00000000,00000063,00000000,00000000,00000000,00002045,00000000,00000248,00000000,                                                                                                    
R070,ST GEORGE TERMINAL            ,00026804,00001580,00000127,00000408,00000005,00004473,00009118,00000000,00000000,00000000,00000205,00000990,00000159,00000001,00000990,00001835,00000187,00000000,00000085,00000000,00000000,00000000,00002607,00000000,00000239,00000000,                                                                                                    
R072,34TH STREET - HUDSON YARDS    ,00033664,00001015,00000105,00000266,00000136,00013061,00015884,00000000,00000000,00000000,00000172,00000385,00000262,00000092,00002539,00001077,00000485,00000000,00000541,00000000,00000000,00000000,00000396,00000000,00000065,00000000,                                                                                                    
R079,FIFTH AVENUE & 60TH STREET    ,00036364,00002450,00000172,00000437,00000194,00014445,00021694,00000000,00000000,00000000,00000242,00000702,00000395,00000271,00003788,00001511,00000687,00000000,00000693,00000000,00000000,00000000,00000542,00000000,00000109,00000000,                                                                                                    
R080,57TH STREET & 7TH AVENUE      ,00078416,00007697,00000362,00001404,00000185,00034052,00064455,00000000,00000000,00000000,00000311,00001467,00000882,00000230,00010002,00003552,00001926,00000000,00001347,00000000,00000000,00000000,00002528,00000000,00000381,00000000,                                                                                                    
R081,49TH STREET & 7TH AVENUE      ,00048438,00002431,00000245,00000635,00000065,00023672,00036106,00000000,00000000,00000000,00000259,00001207,00000402,00000067,00006746,00001819,00001017,00000000,00001225,00000000,00000000,00000000,00001860,00000000,00000119,00000000,                                                                                                    
R082,28TH STREET & BROADWAY        ,00027138,00001210,00000107,00000306,00000028,00013266,00023208,00000000,00000000,00000000,00000120,00000525,00000189,00000032,00002833,00001044,00000783,00000000,00000518,00000000,00000000,00000000,00000494,00000000,00000061,00000000,                                                                                                    
R083,23RD STREET & 5TH AVENUE      ,00046816,00002272,00000237,00000505,00000131,00020169,00039244,00000000,00000000,00000000,00000427,00000869,00000294,00000097,00005097,00002082,00001274,00000000,00000862,00000000,00000000,00000000,00001868,00000000,00000141,00000000,                                                                                                    
R084,59TH STREET/COLUMBUS CIRCLE   ,00168389,00013631,00001009,00002935,00000505,00078644,00118165,00000000,00000000,00000000,00000518,00002223,00002143,00000682,00013804,00006462,00003548,00000000,00003702,00000000,00000000,00000000,00012456,00000000,00002352,00000000,                                                                                                    
R085,8TH STREET & BROADWAY         ,00035325,00002465,00000137,00000395,00000071,00012585,00028713,00000000,00000000,00000000,00000097,00000654,00000220,00000078,00004289,00001556,00000738,00000000,00000726,00000000,00000000,00000000,00001579,00000000,00000092,00000000,                                                                                                    
R086,PRINCE STREET & BROADWAY      ,00027381,00001174,00000099,00000197,00000035,00012652,00018945,00000000,00000000,00000000,00000081,00000411,00000144,00000046,00002490,00000816,00000611,00000000,00000752,00000000,00000000,00000000,00000707,00000000,00000110,00000000,                                                                                                    
R087,CITY HALL                     ,00011350,00001042,00000096,00000277,00000009,00003873,00009604,00000000,00000000,00000000,00000130,00000224,00000104,00000016,00001239,00000496,00000317,00000000,00000131,00000000,00000000,00000000,00001222,00000000,00000307,00000000,                                                                                                    
R088,CORTLANDT STREET              ,00047375,00001417,00000138,00000322,00000044,00014681,00026695,00000000,00000001,00000000,00000208,00001093,00000208,00000055,00004537,00001776,00000950,00000000,00001012,00000000,00000000,00000000,00000979,00000000,00000370,00000000,                                                                                                    
R089,JAY ST-METROTECH              ,00008769,00000459,00000042,00000105,00000006,00002756,00006869,00000000,00000000,00000000,00000069,00000173,00000108,00000007,00000854,00000376,00000188,00000000,00000135,00000000,00000000,00000000,00000745,00000000,00000068,00000000,                                                                                                    
R090,39TH AVENUE & 31ST STREET     ,00004674,00000273,00000035,00000090,00000004,00003881,00003328,00000000,00000000,00000000,00000019,00000058,00000169,00000001,00000453,00000104,00000105,00000000,00000183,00000000,00000000,00000000,00000252,00000000,00000016,00000000,                                                                                                    
R091,36TH AVENUE & 31ST STREET     ,00011527,00000787,00000080,00000168,00000010,00006514,00012153,00000000,00000000,00000000,00000020,00000146,00000314,00000010,00001258,00000293,00000383,00000000,00000124,00000000,00000000,00000000,00001951,00000000,00000096,00000000,                                                                                                    
R092,BROADWAY & 31ST STREET        ,00018105,00001318,00000132,00000358,00000004,00008984,00022101,00000000,00000000,00000000,00000010,00000270,00000495,00000007,00002902,00000573,00000805,00000000,00000250,00000000,00000000,00000000,00002382,00000000,00000125,00000000,                                                                                                    
R093,30TH AVENUE & 31ST STREET     ,00023165,00001299,00000160,00000305,00000004,00012305,00026855,00000000,00000000,00000000,00000014,00000225,00000576,00000014,00003759,00000636,00000898,00000000,00000272,00000000,00000000,00000000,00001778,00000000,00000141,00000000,                                                                                                    
R094,ASTORIA BLVD & 31ST STREET    ,00020455,00001071,00000116,00000289,00000019,00010253,00020961,00000000,00000000,00000000,00000019,00000280,00000363,00000006,00002838,00000554,00000640,00000000,00000204,00000000,00000000,00000000,00001529,00000000,00000128,00000000,                                                                                                    
R095,DITMARS BLVD & 31ST STREET    ,00029207,00001657,00000150,00000299,00000023,00013555,00030205,00000000,00000000,00000000,00000027,00000398,00000859,00000007,00003608,00000794,00000805,00000000,00000238,00000000,00000000,00000000,00003116,00000000,00000155,00000000,                                                                                                    
R096,82ND STREET-JACKSON HEIGHTS   ,00028115,00002934,00000486,00000772,00000020,00025554,00019001,00000000,00000000,00000000,00000007,00000169,00001199,00000008,00001347,00000255,00000351,00000000,00000238,00000000,00000000,00000000,00004080,00000000,00000490,00000000,                                                                                                    
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00045259,00001617,00000312,00000525,00000019,00043575,00019543,00000000,00000000,00000000,00000017,00000121,00000832,00000010,00001024,00000160,00000311,00000000,00000259,00000000,00000000,00000000,00006671,00000000,00000609,00000000,                                                                                                    
R098,CHURCH AVENUE                 ,00026700,00002088,00000483,00000807,00000018,00022840,00025443,00000000,00000000,00000000,00000033,00000266,00000799,00000010,00003257,00000315,00000607,00000000,00000217,00000000,00000000,00000000,00004946,00000000,00000596,00000000,                                                                                                    
R099,DEKALB AVENUE                 ,00039324,00002460,00000400,00001200,00000046,00018135,00042508,00000000,00000000,00000000,00000080,00000531,00000635,00000052,00005992,00001452,00001062,00000000,00000558,00000000,00000000,00000000,00009257,00000000,00000385,00000000,                                                                                                    
R100,METROPOLITAN AVENUE           ,00005355,00000320,00000042,00000157,00000000,00003530,00004197,00000000,00000000,00000000,00000004,00000101,00000107,00000000,00000377,00000129,00000049,00000000,00000038,00000000,00000000,00000000,00001505,00000000,00000088,00000000,                                                                                                    
R101,145TH STREET                  ,00036373,00002109,00000424,00000832,00000020,00036840,00043219,00000000,00000000,00000000,00000060,00000197,00000851,00000017,00004242,00000614,00000972,00000000,00000420,00000000,00000000,00000000,00005823,00000000,00000605,00000000,                                                                                                    
R102,125TH STREET                  ,00047595,00003179,00000877,00001419,00000074,00041645,00044685,00000000,00000000,00000000,00000081,00000334,00001631,00000059,00005099,00000876,00001005,00000000,00000764,00000000,00000000,00000000,00007316,00000000,00000762,00000000,                                                                                                    
R103,BROADWAY-EAST NEW YORK        ,00015594,00000812,00000347,00000373,00000011,00015362,00008557,00000000,00000000,00000000,00000008,00000059,00000570,00000008,00001013,00000075,00000108,00000000,00000141,00000000,00000001,00000000,00002349,00000000,00000264,00000000,                                                                                                    
R104,167TH ST-GRAND CONCOURSE      ,00013872,00000813,00000202,00000274,00000003,00016863,00008902,00000000,00000000,00000000,00000012,00000043,00000616,00000005,00001078,00000076,00000169,00000000,00000111,00000000,00000000,00000000,00003159,00000000,00000485,00000000,                                                                                                    
R105,14TH STREET & 7TH AVENUE      ,00052259,00005909,00000456,00001292,00000097,00024855,00038185,00000000,00000000,00000000,00000157,00000935,00000557,00000161,00005428,00002311,00001203,00000000,00001071,00000000,00000000,00000000,00003515,00000000,00000211,00000000,                                                                                                    
R106,CASTLE HILL AVENUE            ,00011970,00000694,00000120,00000166,00000000,00009365,00006969,00000000,00000000,00000000,00000033,00000089,00000394,00000001,00000901,00000096,00000084,00000000,00000048,00000000,00000000,00000000,00002761,00000000,00000347,00000000,                                                                                                    
R107,WESTCHESTER SQUARE            ,00009249,00000665,00000136,00000255,00000004,00007600,00005978,00000000,00000000,00000000,00000073,00000045,00000394,00000004,00000743,00000120,00000079,00000000,00000054,00000000,00000000,00000000,00002506,00000000,00000177,00000000,                                                                                                    
R108,BOROUGH HALL - COURT STREET   ,00072878,00007621,00000722,00001652,00000269,00027833,00054504,00000000,00000000,00000000,00000382,00001030,00001330,00000361,00007979,00002652,00001488,00000000,00000726,00000000,00000000,00000000,00007011,00000000,00001052,00000000,                                                                                                    
R109,CHURCH AVENUE & NOSTRAND AV   ,00017660,00001304,00000350,00000545,00000003,00013975,00010927,00000000,00000000,00000000,00000011,00000128,00000716,00000008,00001525,00000125,00000234,00000000,00000092,00000000,00000000,00000000,00003011,00000000,00000359,00000000,                                                                                                    
R110,FLATBUSH AVE & NOSTRAND AV    ,00031609,00002465,00000784,00001012,00000032,00024512,00025062,00000000,00000000,00000000,00000102,00000382,00000697,00000009,00003403,00000602,00000402,00000000,00000177,00000000,00000000,00000000,00004880,00000000,00000766,00000000,                                                                                                    
